Amy Friend,Merijean Morrissey
"Technical foundations of digital images, media methods and concepts including web-based, digital photography, image processing software; foundations of digital media in video, audio and computational production and post-production. Contemporary digital practices within the broader history of visual and media arts.","Lectures, lab, 5 hours per week."
"Note: students will need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*VISA 1P96
Studio Foundation,"Basic aesthetic and conceptual processes that underlie visual art production. Two- and three-dimensional formal principles, fundamental critical issues and stylistic/material development. Examples from historic and contemporary art practice provide context for studio projects and readings."
"Lectures, studio work, 5 hours per week.","Note: materials fee required. Students may need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Production and Design Concentration students may register. Contact the Department. Due to space limitations, audits are not permitted in studio classes.This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 1P99,The Culture of Noise
"Role of noise in music, social space and art. Exploration of discursive issues concerning the value of sound studies.","Lectures/seminar, 3 hours, online."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*VISA 1Q98
Introduction to Visual Culture,"Overview of visual culture, its vocabulary, technologies and structures within varied cultural contexts. Problems of meaning, functions of visual culture in contemporary society, the role of galleries and museums, and the impact of imagery in advertising, popular media and consumer culture. Contemporary critical methodology."
"Lectures, seminar, 3 hours week.","Note: no studio work. Field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*VISA 1Q99,Contemporary Issues in The History of Western Art
"Analysis of key issues in the history of Western art, including various ways of looking at the visual past and present. Focus on the visual arts from prehistory through the early 20th century.","Lectures, seminar, 3 hours week."
"Note: no studio work. Field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 2F05
Introduction to Sculpture,"Fundamentals of three-dimensional work: design, construction and formal analysis. Emphasizing modelling techniques and principles of assemblage including mold or form making, casting and fabrication."
"Lectures, studio work, 10 hours per week.",Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors.
"Note: offered in Spring session only. Materials fee required. Students may need additional materials which they must supply. Field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 2M90-2M99
Special Studies in Studio,Studies in a specialized area of the visual arts.
"Lectures, studio work, field trip, 5 hours per week.",VISA 2P03
Painting Fundamentals,"Fundamentals of painting: introduction to colour theory, media and methods."
"Lectures, studio work, 5 hours per week.","Restriction: open to VISA (single or combined), VISA (Honours)/BEd (Intermediate/Senior) majors."
"Note: materials fee required. Students may need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 2P04
Figurative Painting,"Fundamentals of conceiving and painting the figure: introduction to the anatomic, narrative and expressive concepts of the human form."
"Lectures, studio work, 5 hours per week.",Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors.
"Note: materials fee required. Students may need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 2P26
Photography: Camera and Darkroom Process,"Lectures, lab, 5 hour per week."
Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors.,"Note: materials fee required. Students will need additional materials and equipment, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Students should provide their own 35 mm analog (film) camera with manual and automatic settings. Limited number of loaner cameras are available. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 2P27,Introduction to Digital Photography
"Lectures, lab, 5 hours per week.",Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors.
"Note: materials fee required. Students will need additional materials and equipment, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Students must provide their own digital camera with a mega pixel rating of 12 minimum. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 2P41
Power and Politics: Visual Culture in Early Modern Europe,"European art, architecture and visual culture from the 15th to the 18th century. Role of imagery in religious contexts, exploration of the natural world, the Enlightenment and development of nation states."
"Lectures, seminar, 3 hours per week.",Restriction: students must have a minimum of 5.0 overall credits and a minimum 60 percent overall average or permission of the instructor.
"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 2P50
Canadian Identities: Art and Visual Culture in Canada Before 1960,"First Nations cultural production. Influence of French and British art on Canadian art history. Historical identity, cultural definition and ideas of nationalism in art."
"Lectures, seminar, 3 hours per week.",Restriction: student must have a minimum of 5.0 overall credits and a minimum 60 percent overall average or permission of the instructor.
"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 2P51
Contemporary Issues in Canadian Visual Culture,"Thematic explorations of art, visual culture, cultural production, museums and exhibitions in Canada from the mid 20th century through to the present day."
"Lectures, seminar, 3 hours per week.",Restriction: student must have a minimum of 5.0 overall credits and a minimum 60 percent overall average or permission of the instructor.
"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 2P53
The History of Photography,"Lectures, seminar, 3 hours per week."
Restriction: student must have a minimum of 5.0 overall credits and a minimum 60 percent overall average or permission of the instructor.,"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*VISA 2P61,Website Creation
"Creative approaches to basic technical and design foundations of website design and development. Processing and management of images and other media assets, structuring websites, development tools and applications, web hosting and dissemination strategies. Contemporary web-based art practices within the broader history of cultural production.","Lectures, lab, 5 hours per week."
VISA 2P88,Introduction to Contemporary Art: Twenty-first Century
"Thematic, contextual and critical evaluation of current trends in visual art.","Lectures, seminar, 3 hours per week."
Restriction: student must have a minimum of 5.0 overall credits and a minimum 60 percent overall average or permission of the instructor.,"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 2P89,"Medieval Art, Architecture and Society"
"Interdisciplinary study of the inter-relation and connectedness between the arts, architecture and society in medieval Europe.","Lectures, seminar, 3 hours per week."
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 2P90
Nineteenth-Century Visual Culture,"Role of art and visual culture within the paradigm shifts of the modern world, with focus on how images relate to politics, social, cultural and technological changes during this time period."
"Lectures, seminar, 3 hours per week.",Restriction: student must have a minimum of 5.0 overall credits and a minimum 60 percent overall average or permission of the instructor.
"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#VISA 2P92
Early to High Renaissance Art and Architecture,"Major monuments, buildings and art works of the period from several critical perspectives including the humanist influence on the arts in Florence and Rome, the issue of patronage and the question of the artist's cultural status."
"Lectures, seminar, 3 hours per week.","Note: given in English. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 2P93,Drawing III
Further investigation of drawing materials and techniques emphasizing compositional structures.,"Lectures, studio work, 5 hours per week."
Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors.,"Note: materials fee required. Students might need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 2P94,Drawing IV
"Idea development, integration of media and conceptual approaches.","Lectures, studio work, 5 hours per week."
Restriction: open to VISA (single or combined) VISA (Honours)/BEd (Intermediate/Senior) majors.,"Note: materials fee required. Students might need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*VISA 2P96,Introduction to 3D Modelling and Animation
"Concepts and skills of 3D modelling and rendering using Autodesk Maya. Approaches to building models, using texturizing, lighting, cameras and rendering as well basic animation techniques. Relevant historic and theoretical perspectives on 3D and virtuality situating 3D within creative process and broader critical practices in cultural production.","Lectures, lab, 5 hours per week."
*VISA 2P97,Digital Video in Contemporary Art
"Concepts of basic videography and its applications within conceptual and aesthetic studio practice. Camerawork, composition and lighting; digital video and audio editing, special effects, composing, text and titling, and HD output. Critical analysis of recent and contemporary film and video practices.","Lectures, lab, 5 hours per week."
*VISA 2P99,Introduction to Sound Design in Contemporary Art
"Approaches to the conceptualization and production of sound recording, notation, field-recording, Foley arts, soundtrack production, experimental music and performance and contemporary sound art.","Lab, 5 hours per week."
*VISA 2Q95,Introduction to Interactive Media
"Concepts and creation in electronic media enabled by physical interaction between a user/viewer and a sculpture, installation, sound and video environment or wearable media. Fundamental concepts of voltage, current and resistance. Use of simple circuits, sensors and switches, software interfaces and basic microprocessors.","Lectures, lab, 5 hours per week."
#VISA 2Q96,Art of Activism: Sexuality to Racial Justice
"Lectures, seminar, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 2Q97,Digital Video for Game Applications
"Concepts of basic videography and its applications within conceptual and aesthetic studio practice. Camerawork, composition and lighting; digital video and audio editing, special effects, composing, text and titling, and HD output. Critical analysis of recent and contemporary film and video practices.","Lectures, lab, 5 hours per week."
"Note: material fees required. Students may need additional materials and equipment, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#VISA 2Q98
The Philosophy of Art,"Classical theories of art through analysis of painting, photography, video, film, music and drama examining concepts such as beauty, creativity, artistic intention, perception, interpretation, and the nature and possible role of art."
"Lectures, 3 hours per week.","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 2Q99,Sound Design for Game Applications
"Lab, 5 hours per week.","Note: material fees may be required. Students may need additional materials and equipment, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 3F50,Reading the Italian Medieval & Renaissance City
"Exploring key monuments, churches, museums and urban sites. Concept of the city as expressed through art, literature and architecture from Medieval to Baroque times. Historical and geographical influences and factors in shaping the city, its culture and traditions. Cities include Rome, Assisi, Siena and Florence.","Note: given in English. No knowledge of Italian is needed. Course begins in May on campus during the Spring Evening session. Departure for Italy: end of May-beginning of June for a 2-week study tour of Rome, Assisi, Florence and Siena. Students are responsible for travel, accommodation and other expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 3F91,Advanced Art Practice
"Artistic research and creation from the perspective of project oriented, independent production. Development of artistic practices emphasizing concept to realization processes.","Lecture, lab, 5 hours per week."
Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors with a minimum of 12.0 overall credits or permission of the Department.,"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 3F99,Honours Tutorial
Advanced study in an area of mutual interest to the student and the instructor.,"Restriction: students must have a minimum 75 percent major average, a minimum 12.0 overall credits and permission of the Department."
"Note: a written proposal, normally submitted in May of each year, must be approved by the Department before registration. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 3M00-3M04
Special Studies in Art History,VISA 3M05-3M10
Art Studies Abroad,"Unique cultural, architectural or regional setting examined through the eye of the visual artist, critic or art historian utilizing the host country's institutional resources, museums and galleries. For students with an interest in both studio and art history."
Restriction: permission of the Chair.,Prerequisite(s): one VISA credit or permission of the instructor.
VISA 3M05,2022-2023: Art Studies Abroad in Spain
"Exploration of unique cultural events and regional settings in Bilbao, Spain and surrounding areas. Artist exhibitions, talks, participatory workshops/seminars and activities with various institutions. Immersive experience develops knowledge of arts, cultural programming, tourism, media and communications, with a focus on community interaction for social and economic benefit.",Restriction: student must have a minimum of 5.0 overall credits and a minimum 60 percent overall average or permission of the instructor.
"Note: approximately 10 days of intensive study abroad with online pre-travel component. Students are expected to pay their own expenses. Students may need additional materials, which they must supply.",#VISA 3M20-3M29
Study in Mediterranean Lands,"Topographical investigations of ancient sites and monuments. Study tours of the great cities and museums of the Mediterranean world emphasizing the art and architecture of the Prehistoric, Classical and later periods."
Restriction: permission of the instructor.,Note: offered in the Spring or Summer Session for two to four weeks of intensive study abroad. Students are expected to pay their own expenses.
VISA 3M50-3M55,Travel and Study in Italy
"Exploring cultural, historical, geographical and regional traditions of Italy.",Restriction: permission of the Department.
Note: offered in Italy during Spring/Summer session. Students are expected to pay their own expenses.,VISA 3M90-3M95
Special Studies in Visual Arts,Studies that combine theory and studio.
VISA 3M91,2022-2023: Inside Out - Revealing the Anatomical Body
"Critical examination of historical anatomical illustrations and models, and what these representations reveal culturally, socially and artistically. Using the trope of flap anatomy, whereby layers of the body are peeled open, students engage in critical readings and discussions, self-selected interdisciplinary writing and studio projects.","Lectures, studio work, 5 hours per week."
Restriction: students must have a minimum of 5.0 overall credits and a minimum 60 percent overall average or permission of the instructor.,"Note: materials fee required. Students may need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses."
#VISA 3P01,Media Transformations in The Creative Arts
"The trajectory and influences of new media on the development of and discourses in 20th Century and contemporary creative production including the arts, broadcast, film, video, and electronic arenas such as the internet, games and interactive media. Overview of fundamental concepts, practices and language. Consideration of aesthetics, production, script and story, direction, authorship, collaborative process and distribution.","Lectures, 3 hours per week"
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 3P03
Intermediate Painting,"Painting techniques emphasizing compositional, formal and graphic elements."
"Lectures, studio work, 5 hours per week.","Note: materials fee required. Students may need additional materials which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 3P04,Painting Concepts
"Conceptual development, synthesis and integration of media emphasizing contemporary approaches and practices.","Lectures, studio work, 5 hours per week."
"Note: materials fee required. Students may need additional materials which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 3P05
The European Avant-Garde: 1905-1970,"Contextual analysis of the European and Russian avant-garde movements in art, design and architecture, emphasizing principal artists, theoretical or primary documents and the critical reaction."
"Lectures, seminar, 3 hours per week.","Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 3P06,The American Avant-Garde: 1912-1970
"From the Armory Show to the European influence on American art and photography of the Early Century, the International Style in architecture, to the emergence of the New York school, the Pop movement, Minimalism and conceptual art, and their hold on the art and culture of the 60s.","Lectures, seminar, 3 hours per week."
"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",*VISA 3P08
Gender and Art,Gender and identity politics in art and visual culture.
"Lectures, seminar, 3 hours per week.","Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*VISA 3P10,Advanced Video Art
"Creative, technical, and critical skills for video art production, post-production and critical evaluation. Through creative projects, critiques, screenings, readings, lectures and discussions, students will be introduced to a variety of forms and approaches to video art, emphasizing creating video art and its contextualization in contemporary art discourses.","Lectures, studio work, 5 hours per week."
Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors until the date specified in the Registration guide. Students must have a minimum of 8.0 overall credits.,#VISA 3P14
Dramatic Creation for Contemporary Cultural Practice,"Components of dramatic story. Understanding character, dramatic action, structure, direction, improvisation, tempo, rhythm, voice and body potential. Theory and practical application in projects for creators in the arts, media and film."
"Seminar, workshop 3 hours per week.","Note: enrolment limited to 20 students. Materials fee required. Students might need additional materials, which they must supply. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 3P22,Art and Architecture of the Roman Republic and Early Empire
"Art and architecture of the cultures of the Italian peninsula, in the first millennium BC, within the framework of cultural change and external influences.","Lectures, 3 hours per week."
#VISA 3P23,Art and Architecture of the Roman Empire
Roman art and architecture from Augustus to Late Antiquity. Christian art and architecture and the influence of Roman aesthetics on the Renaissance and beyond.,"Lectures, 3 hours per week."
#VISA 3P24,Art and Architecture of Early Greece
Greek art and architecture from the end of the Bronze age through the end of the Archaic period within the framework of historical and cultural change.,"Lectures, 3 hours per week."
#VISA 3P25,Art and Architecture of Classical Greece and the Hellenistic World
Greek art and architecture from the early Classical era through the Hellenistic period within the framework of historical and cultural change.,"Lectures, 3 hours per week."
VISA 3P26,Intermediate Darkroom Photography
"Lectures, lab, 5 hours per week.",Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors until date specified in Registration guide.
"Note: materials fee required. Students may need additional materials and equipment, which they must supply. Field trips may be required. Students are expected to pay their own expenses.Students are advised to provide their own 35 mm analog (film) camera with manual settings. Limited number of loaner cameras are available. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#VISA 3P41
Approaches to Curatorial Practice,Practical application of methodological and theoretical approaches to curating.
"Lectures, seminar, 3 hours per week.","Note: participants may be required to travel to locations other than on campus. Students may need field trip expenses, which they must supply. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 3P42,Methods and Principles of Curating
"Curatorial function of the museum, gallery and cultural organizations and the role of the curator in society. Critical and theoretical aspects of curating and methodological approaches to interpretation, dissemination and presentation of cultural artifacts, artworks and new forms of media.","Lectures, seminar, 3 hours per week."
"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 3P50
Ecologies of Space,"How we influence our environments, adapt to and utilize space; their cultural and social meanings; aesthetic, human or political implications; significance of built environments, architecture's role and public spaces; de-featured or non-spaces; natural habitats and representations of the natural; the artist's contribution to the evolution of postmodern geographies and monumental or site-specific space."
"Lectures, seminar, 3 hours per week.","Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 3P52,Visual Culture and Science
Thematic explorations of the relations that exist between science and visual culture both in contemporary culture and in previous eras.,"Lectures, seminar, 3 hours per week."
"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 3P89
Visual Culture of the Apocalypse,"Representations of apocalypse in art and visual culture. Topics may include pandemic imagery, climate change, and global religious traditions. Historical and contemporary examples from a variety of contexts."
"Seminar, 3 hours per week","Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 3P90,Readings in Contemporary Art I: 1970-2000
"Advanced seminar, emphasizing what constitutes the paradigm shift from Late Modernism to Postmodernism.","Lectures, seminar, 3 hours per week."
Restriction: students must have a minimum of 9.0 overall credits.,"Note: required for all VISA (single) Honours students. Field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 3P91,Readings in Contemporary Art II: Art Now
"Current trends in the production, reception and interpretation of art and discursive approaches to contemporary issues including the critical text, theoretical and cultural readings.","Lectures, seminar, 3 hours per week."
Restriction: students must have a minimum of 9.0 overall credits.,"Note: required for all VISA (single) Honours students. Field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 3P93,Expressive Drawing
Advanced drawing as a means of expressing personal and subjective imagery.,"Lectures, studio work, 5 hours per week."
Prerequisite(s): four VISA studio credits (minimum 60 percent) or permission of the instructor.,VISA 3P94
Contemporary Drawing,"Advanced drawing which questions the boundaries of media, process and creative expression."
"Lectures, studio work, 5 hours per week.",Prerequisite(s): four VISA studio credits (minimum 60 percent) or permission of the instructor.
"Note: materials fee required. Students might need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 3P95
Introduction to Animation,"Individual creative digital and analog animation projects. Critical knowledge of the history of animation within Visual Art, its historical developments and major practitioners. Demonstrations and exercises in techniques including direct animation, stop motion, cutout, silhouette, puppet, Claymation, rotoscoping, etc."
"Lectures, lab, 5 hours per week.",Restriction: open to VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors.
"Note: students will need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 3P97
Appropriation in Art and Culture,"Authorship and appropriation in art and visual culture. Topics include the historical development of the notions of the artist, copyright and plagiarism, quotation, parody and intertextuality, the role of found objects, collage and montage, and the significance of digital technologies. Historical and contemporary examples from a wide range of media."
"Lectures, seminar, 3 hours per week.","Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 3P98,Picturing Animals
"Representations of non-human animals in Western art and visual culture. Case studies in such areas as interspecies collaboration, scientific representation and technologies of image-making.","Lectures, seminar, 3 hours per week."
"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",#VISA 3P99
Interpretive and Critical Writing in the Arts,"Principles and methodologies for the written presentation and representation of works of art, artists' practice and events within general and specific disciplinary contexts, discourses and frameworks. Examples from across the arts; practice-based projects from real world events and performances. Orientation to specialized publics in print and other media."
"Seminar, 3 hours per week.",Prerequisite(s): students must have a minimum 10.0 overall credits or permission of the instructor.
"Note: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Event attendance is required; events fees required.",*VISA 3Q91
Research Seminar in Visual Art,"Introduction to a variety of research methods, paradigms, issues, and practical skills relevant to studio art or creative practice. Development of research-creation processes from conceptualization and literature review to presentation and communication of project outcomes."
"Lectures, seminar/lab, 3 hours per week.",VISA 3Q92
Professional Practice Methodologies,"Professional art practices and technologies for artists, curators, and cultural industry professionals. Understanding contemporary art institutions, creating art documentation, portfolio strategies, writing artists'/exhibition statements and cv, proposal and grant writing, professional networking, and an introduction to commercial representation."
"Lectures, seminar, experiential learning activities, 3 hours per week.",Restriction: students must have a minimum of 10.0 overall credits.
Prerequisite(s): two studio credits or permission of the instructor.,"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 3Q97,Advanced Photographic Processes
"Lectures, lab, 5 hours per week.","Note: materials fee required. Students may need additional materials and equipment, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Students are advised to provide their own 35 mm analog (film) camera with manual settings and/or digital SLR camera with a megapixel rating of 12 minimum. Limited number of loaner cameras are available. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
*VISA 3Q99,Advanced Sound Design
"Further develop skills and acquire knowledge on the field of digital sound, focusing on recording theory, post-production techniques and presentation. Students will also learn about installation practices in Sound Art and the use of hardware and software to create sound-based art projects.","Lab, 5 hours per week."
"Note: material fees required. Students may need additional materials and equipment, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 3V20-3V29
Special Topics in Visual Culture,Special Topics in Visual Culture.
VISA 3V30-3V39,Selected Topics in Visual Arts
Selected issues in Visual Arts.,VISA 3V90-3V94
Selected Topics in Visual Arts,Selected issues in art.
VISA 3V95-3V99,Special Studies in Visual Culture
VISA 4F06,Honours Studio
Advanced independent studio practice pursuing in-depth exploration of theoretical and methodological approaches to creation resulting in a critically engaged sustained body of work for public professional exhibition.,"Studio work, 5 hours per week."
"Restriction: students must have a minimum 75 percent major average, minimum 15.0 overall credits and permission of the Department.","Note: enrolment may be restricted due to limitations of honours studio space. A written proposal, normally submitted in May of each year, must be approved by the Department before registration. Honours standing in VISA is required. Students will need additional materials which they must supply. Field trips may be required and are organized outside regular course meeting time. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 4F41,Curatorial Studies Practicum
"Practical application of the critical and theoretical aspects of curating. Research and organization of an exhibition from proposal, thesis, work-plan, budget, marketing and program plan to dissemination and presentation of works of art within a professional gallery.","Lectures, seminar, lab, 6 hours per week."
"Note: field trips may be required. Students are expected to pay their own expenses. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 4F99
Honours Thesis,"Critical, historical or creative project in the visual arts of mutual interest to the student and the instructor."
